Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
North West,North America,2020 Q1,,,
North West,Europe,2020 Q1,,,
North West,European Union,2020 Q1,,,
North West,EU15,2020 Q1,,,
North West,Other European Union,2020 Q1,,,
North West,Other Countries,2020 Q1,,,
North West,Total World,2020 Q1,,,
Yorkshire and the Humber,North America,2020 Q1,,,
Yorkshire and the Humber,Europe,2020 Q1,,,
Yorkshire and the Humber,European Union,2020 Q1,,,
Yorkshire and the Humber,EU15,2020 Q1,,,
Yorkshire and the Humber,Other European Union,2020 Q1,,,
Yorkshire and the Humber,Other Countries,2020 Q1,,,
Yorkshire and the Humber,Total World,2020 Q1,,,
East Midlands,North America,2020 Q1,,,
East Midlands,Europe,2020 Q1,,,
East Midlands,European Union,2020 Q1,,,
East Midlands,EU15,2020 Q1,,,
East Midlands,Other European Union,2020 Q1,,,
East Midlands,Other Countries,2020 Q1,,,
East Midlands,Total World,2020 Q1,,,
West Midlands,North America,2020 Q1,,,
West Midlands,Europe,2020 Q1,,,
West Midlands,European Union,2020 Q1,,,
West Midlands,EU15,2020 Q1,,,
West Midlands,Other European Union,2020 Q1,,,
West Midlands,Other Countries,2020 Q1,,,
West Midlands,Total World,2020 Q1,,,
East of England,North America,2020 Q1,,,
East of England,Europe,2020 Q1,,,
East of England,European Union,2020 Q1,,,
East of England,EU15,2020 Q1,,,
East of England,Other European Union,2020 Q1,,,
East of England,Other Countries,2020 Q1,,,
East of England,Total World,2020 Q1,,,
London,North America,2020 Q1,560000.0,425.0,
London,Europe,2020 Q1,2261000.0,1088.0,
London,European Union,2020 Q1,2032000.0,873.0,
London,EU15,2020 Q1,1682000.0,723.0,
London,Other European Union,2020 Q1,350000.0,150.0,
London,Other Countries,2020 Q1,875000.0,1042.0,
London,Total World,2020 Q1,3696000.0,2556.0,
South East,North America,2020 Q1,,,
South East,Europe,2020 Q1,,,
South East,European Union,2020 Q1,,,
South East,EU15,2020 Q1,,,
South East,Other European Union,2020 Q1,,,
South East,Other Countries,2020 Q1,,,
South East,Total World,2020 Q1,,,
South West,North America,2020 Q1,,,
South West,Europe,2020 Q1,,,
South West,European Union,2020 Q1,,,
South West,EU15,2020 Q1,,,
South West,Other European Union,2020 Q1,,,
South West,Other Countries,2020 Q1,,,
South West,Total World,2020 Q1,,,
Total England,North America,2020 Q1,760000.0,585.0,
Total England,Europe,2020 Q1,4315000.0,1830.0,
Total England,European Union,2020 Q1,3897000.0,1533.0,
Total England,EU15,2020 Q1,3103000.0,1254.0,
Total England,Other European Union,2020 Q1,794000.0,279.0,
Total England,Other Countries,2020 Q1,1201000.0,1521.0,
Total England,Total World,2020 Q1,6276000.0,3936.0,
Scotland,North America,2020 Q1,50000.0,25.0,
Scotland,Europe,2020 Q1,215000.0,79.0,
Scotland,European Union,2020 Q1,191000.0,66.0,
Scotland,EU15,2020 Q1,154000.0,58.0,
Scotland,Other European Union,2020 Q1,37000.0,8.0,
Scotland,Other Countries,2020 Q1,103000.0,99.0,
Scotland,Total World,2020 Q1,367000.0,204.0,
Wales,North America,2020 Q1,14000.0,4.0,
Wales,Europe,2020 Q1,114000.0,33.0,
Wales,European Union,2020 Q1,111000.0,33.0,
Wales,EU15,2020 Q1,82000.0,26.0,
Wales,Other European Union,2020 Q1,29000.0,7.0,
Wales,Other Countries,2020 Q1,21000.0,44.0,
Wales,Total World,2020 Q1,148000.0,81.0,
All Regions,North America,2020 Q1,794000.0,617.0,5533000.0
